Id,Car_Name,Aspirational_Value,Age,km_driven,fuel,transmission,selling_price
340,Grand_i10,General,6,25000,Petrol,Manual,350000
342,Ertiga,General,5,60000,Diesel,Manual,720000
348,Swift,General,5,38000,Petrol,Manual,550000
353,Swift,General,15,120000,Petrol,Manual,250000
358,SX4,General,15,90000,Petrol,Manual,100000
360,Santro,General,12,98000,CNG,Manual,130000
364,Swift,General,8,90000,Diesel,Manual,400000
367,KWID,General,4,35000,Petrol,Manual,325000
377,i20,General,12,40000,Petrol,Manual,250000
393,Scorpio,Premium,25,170000,Petrol,Manual,220000
394,Bolero,General,12,50000,Diesel,Manual,400000
399,Supro,General,5,160000,Diesel,Manual,500000
403,WagonR,General,18,60000,Petrol,Manual,80000
404,Alto,General,6,30000,Petrol,Manual,300000
407,Safari,Premium,12,120000,Diesel,Manual,250000
410,Brio,General,4,20000,Petrol,Manual,475000
416,Brezza,General,4,10000,Diesel,Manual,850000
428,Grand_i10,General,7,61690,Petrol,Manual,400000
432,Figo,General,11,70000,Diesel,Manual,220000
433,Brio,General,10,85962,Petrol,Manual,300000
435,Mobilio,General,7,120000,Diesel,Manual,600000
439,Figo,General,7,45000,Petrol,Manual,229999
441,Nano,General,11,15000,Petrol,Manual,75000
442,i20,General,6,30000,Petrol,Manual,600000
448,KWID,General,5,30000,Petrol,Manual,390000
452,WagonR,General,4,24000,Petrol,Automatic,420000
455,TUV,General,4,50000,Diesel,Manual,760000
456,Maruti 800,General,20,100000,Petrol,Manual,43000
463,Beat,General,11,80000,Petrol,Manual,225000
469,i10,General,13,120000,Petrol,Manual,120000
471,Swift,General,17,80000,Petrol,Manual,110000
474,Figo,General,11,149000,Diesel,Manual,175000
480,Alto,General,7,30000,Petrol,Manual,275000
482,EON,General,10,90000,LPG,Manual,180000
486,Bolero,General,15,120000,Diesel,Manual,225000
487,Mobilio,General,8,44000,Diesel,Manual,600000
492,i10,General,13,27633,Petrol,Manual,270000
496,Avventura,General,4,38083,Diesel,Manual,650000
498,Figo,General,10,81632,Diesel,Manual,425000
504,Figo,General,12,86017,Diesel,Manual,325000
506,Ikon,General,16,91086,Petrol,Manual,180000
508,EcoSport,Premium,9,125531,Diesel,Manual,600000
510,Laura,General,16,100000,Diesel,Manual,350000
512,Xylo,General,13,120000,Diesel,Manual,225000
516,Indigo,General,8,120000,Diesel,Manual,225000
517,Amaze,General,9,65000,Diesel,Manual,325000
526,Fortuner,Premium,5,41000,Diesel,Automatic,2750000
527,Verna,General,9,65000,Diesel,Manual,484999
529,Swift,General,9,61083,Diesel,Manual,425000
531,Scorpio,Premium,10,72000,Diesel,Manual,565000
538,Mercedes_GL_Class,Premium,8,100000,Diesel,Automatic,4400000
539,Swift,General,6,7104,Petrol,Manual,670000
549,Innova,General,4,23974,Diesel,Automatic,1725000
552,C-Class,Premium,4,10000,Diesel,Automatic,3800000
555,Creta,Premium,6,52600,Diesel,Manual,535000
574,Creta,Premium,6,52600,Diesel,Manual,535000
596,Swift,General,6,7104,Petrol,Manual,670000
597,Ertiga,General,7,11918,Petrol,Manual,625000
598,Grand_i10,General,5,10510,Petrol,Automatic,520000
599,Beat,General,6,41000,Petrol,Manual,239000
603,A6,Premium,9,58500,Diesel,Automatic,1300000
605,Laura,General,10,52000,Diesel,Manual,385000
606,Verna,General,7,55340,Petrol,Manual,760000
608,Duster,Premium,9,1000,Diesel,Manual,450000
609,C-Class,Premium,4,10000,Diesel,Automatic,3800000
610,A4,Premium,9,86000,Diesel,Automatic,1580000
615,Swift,General,6,7104,Petrol,Manual,670000
616,Ertiga,General,7,11918,Petrol,Manual,625000
623,Santro,General,17,56580,Petrol,Manual,80000
625,Verna,General,7,55340,Petrol,Manual,760000
626,Swift,General,5,46507,Diesel,Manual,600000
630,Scorpio,Premium,6,35000,Diesel,Manual,900000
646,Zen,General,14,90000,Petrol,Manual,140000
652,Swift,General,4,17500,Petrol,Manual,540000
655,i10,General,9,88600,LPG,Manual,250000
663,Santro,General,20,60000,Petrol,Manual,55000
664,Verna,General,15,100000,Diesel,Manual,155000
665,Thar,General,3,15000,Diesel,Manual,900000
673,Alto,General,7,70000,Petrol,Manual,190000
674,Bolero,General,11,140000,Diesel,Manual,311000
680,Nano,General,9,27974,Petrol,Manual,58000
681,Alto,General,4,40000,Petrol,Manual,183000
695,WagonR,General,13,53000,Petrol,Manual,150000
696,Jetta,General,12,100000,Diesel,Manual,250000
697,Verna,General,10,86000,Diesel,Manual,390000
699,Xcent,General,6,30000,Diesel,Manual,600000
703,Cruze,General,12,124000,Diesel,Manual,330000
712,Brezza,General,6,39503,Diesel,Manual,699000
713,Grand_i10,General,9,35299,Petrol,Manual,325000
718,Etios,General,11,41125,Petrol,Manual,249000
726,Superb,General,9,61624,Petrol,Automatic,599000
728,Verna,General,8,50000,Diesel,Manual,550000
734,i20,General,12,90000,Petrol,Manual,210000
741,EON,General,4,20629,Petrol,Manual,325000
743,Grand_i10,General,7,30000,Petrol,Automatic,400000
745,Maruti 800,General,19,54000,Petrol,Manual,98000
746,XUV500,Premium,9,63654,Diesel,Manual,900000
747,Lodgy,General,5,60000,Diesel,Manual,700000
749,Swift,General,7,59385,Diesel,Manual,490000
751,WagonR,General,9,55425,Petrol,Manual,330000
753,Bolero,General,4,40890,Diesel,Manual,790000
756,Ciaz,General,5,55545,Diesel,Manual,750000
759,Indica,General,13,120000,Petrol,Manual,68000
760,EON,General,5,20000,Petrol,Manual,290000
761,City,General,8,27483,Diesel,Manual,600000
765,Zen,General,16,70000,Petrol,Manual,80000
770,Polo,Premium,11,63657,Diesel,Manual,220000
780,SX4,General,11,90000,Diesel,Manual,220000
782,Verna,General,9,89000,Petrol,Manual,530000
784,Punto,General,10,100000,Diesel,Manual,185000
792,Scorpio,Premium,7,60000,Diesel,Manual,600000
795,Swift,General,7,24600,Petrol,Manual,475000
796,WagonR,General,11,28481,Petrol,Manual,260000
799,WagonR,General,13,30375,Petrol,Manual,180000
805,Bolero,General,5,50000,Diesel,Manual,400000
806,XUV500,Premium,10,53600,Diesel,Manual,711000
807,Innova,General,7,53652,Diesel,Manual,851000
808,Ertiga,General,8,25000,Petrol,Manual,500000
809,Innova,General,15,80000,Diesel,Manual,250000
823,Grand_i10,General,7,90000,Petrol,Manual,350000
833,Creta,Premium,6,80000,Diesel,Manual,900000
840,Marazzo,General,4,15000,Diesel,Manual,950000
842,Duster,Premium,9,120000,Diesel,Manual,450000
844,Swift,General,7,90000,Petrol,Manual,400000
845,Omni,General,4,10000,Petrol,Manual,200000
850,Hexa,General,5,50000,Diesel,Automatic,1200000
854,Nano,General,9,40000,Petrol,Manual,60000
860,Swift,General,5,90000,Diesel,Manual,425000
866,i10,General,14,90000,Petrol,Manual,150000
868,Sunny,General,9,80000,Diesel,Manual,450000
885,Sunny,General,7,50000,Diesel,Manual,450000
886,Etios,General,10,56000,Diesel,Manual,409999
890,i10,General,12,60000,Petrol,Manual,210000
891,Santro,General,16,120000,Petrol,Manual,90000
892,WagonR,General,12,70000,Petrol,Manual,222000
901,Grand_i10,General,5,19890,Petrol,Automatic,550000
903,Ertiga,General,7,11918,Petrol,Manual,625000
904,Grand_i10,General,5,10510,Petrol,Automatic,520000
919,SX4,General,10,110000,Petrol,Manual,225000
921,Swift,General,6,7104,Petrol,Manual,670000
922,Ertiga,General,7,11918,Petrol,Manual,625000
927,i10,General,10,49824,Petrol,Manual,229999
928,A6,Premium,9,58500,Diesel,Automatic,1300000
931,Verna,General,7,55340,Petrol,Manual,760000
933,Jetta,General,10,55300,Diesel,Automatic,735000
934,Indica,General,10,74300,Diesel,Manual,285000
937,Vento,General,5,40219,Diesel,Automatic,890000
939,Eeco,General,5,8352,Petrol,Manual,425000
941,Grand_i10,General,5,9748,Petrol,Manual,550000
942,Polo,Premium,10,49000,Petrol,Manual,271000
943,Creta,Premium,4,20694,Diesel,Manual,1490000
944,Grand_i10,General,7,31080,Petrol,Manual,490000
952,Rapid,General,7,46957,Diesel,Automatic,599000
955,Scorpio,Premium,10,110000,Diesel,Manual,600000
959,Alto,General,3,5000,Petrol,Manual,350000
960,Swift,General,7,60000,Diesel,Manual,475000
963,Sail,General,8,120000,Diesel,Manual,250000
981,Scorpio,Premium,12,110000,Diesel,Manual,385000
982,Punto,General,8,70000,Diesel,Manual,325000
985,Indica,General,8,25000,Diesel,Manual,250000
990,Scorpio,Premium,10,90000,Diesel,Manual,550000
994,EON,General,10,70000,Petrol,Manual,160000
995,Endeavour,Premium,11,90000,Diesel,Automatic,1000000
1000,Creta,Premium,2,10000,Diesel,Manual,1050000
1002,i20,General,6,25000,Petrol,Manual,600000
1006,Brio,General,5,15000,Petrol,Manual,400000
1010,Rapid,General,7,23000,Petrol,Manual,640000
1015,Figo,General,4,35000,Petrol,Manual,550000
1017,Pajero,Premium,10,167870,Diesel,Manual,1025000
1019,C-Class,Premium,4,10000,Diesel,Automatic,3800000
1021,X5,Premium,3,30000,Diesel,Automatic,4950000
1022,City,General,4,23038,Petrol,Automatic,1140000
1027,Grand_i10,General,5,10510,Petrol,Automatic,520000
1031,A6,Premium,9,58500,Diesel,Automatic,1300000
1034,i20,General,9,52000,Diesel,Manual,280000
1036,Verito,General,7,90000,Diesel,Manual,300000
1044,Ertiga,General,10,110000,Diesel,Manual,555000
1045,Ecosport,Premium,9,60000,Diesel,Manual,500000
1047,EON,General,5,28838,Petrol,Manual,280000
1049,Indica,General,16,100000,Diesel,Manual,55000
1052,Jeep,General,15,100000,Diesel,Manual,95000
1057,Jazz,General,4,19571,Diesel,Manual,790000
1060,Brezza,General,4,15000,Diesel,Automatic,950000
1063,A4,Premium,4,22000,Petrol,Automatic,3100000
1067,Alto,General,6,60000,Petrol,Manual,245000
1070,Grand_i10,General,5,20000,Petrol,Manual,540000
1079,Q5,Premium,8,62237,Petrol,Automatic,1850000
1089,Polo,Premium,5,44000,Petrol,Manual,650000
1092,City,General,8,17000,Petrol,Manual,690000
1096,Sumo,General,6,42000,Diesel,Manual,509999
1099,Indica,General,16,170000,Diesel,Manual,85000
1100,Indigo,General,13,110000,Diesel,Manual,130000
1101,EcoSport,Premium,4,27620,Diesel,Manual,950000
1105,Mercedes_C_Class,Premium,8,46000,Diesel,Automatic,2490000
1106,Innova,General,10,82000,Diesel,Manual,790000
1109,Indica,General,12,70000,Petrol,Manual,99000
1111,Xylo,General,9,170000,Diesel,Manual,250000
1117,Scorpio,Premium,6,161327,Diesel,Manual,675000
1118,i10,General,13,60000,Petrol,Manual,150000
1120,Grand_i10,General,4,6000,Petrol,Manual,450000
1123,Scorpio,Premium,11,70000,Diesel,Automatic,525000
1126,Amaze,General,7,110000,Diesel,Manual,475000
1127,Scorpio,Premium,12,165000,Diesel,Automatic,380000
1129,Alto,General,14,60000,Petrol,Manual,91200
1135,Ecosport,Premium,9,72000,Diesel,Manual,425000
1136,WagonR,General,9,71000,CNG,Manual,250000
1137,Swift,General,13,110000,Petrol,Manual,200000
1139,Polo,Premium,12,144000,Diesel,Manual,130000
1140,Eeco,General,5,30000,Petrol,Manual,260000
1141,Verna,General,15,65000,Petrol,Manual,155000
1144,i20,General,4,37000,Diesel,Manual,650000
1149,i10,General,10,40000,Petrol,Manual,240000
1152,EON,General,7,32000,Petrol,Manual,245000
1153,Bolero,General,6,56000,Diesel,Manual,600000
1155,Scorpio,Premium,8,80000,Diesel,Manual,620000
1156,Swift,General,8,52000,Petrol,Manual,395000
1158,Alto,General,11,36000,Petrol,Manual,180000
1168,Bolero,General,4,44000,Diesel,Manual,550000
1170,Scorpio,Premium,5,120000,Diesel,Manual,750000
1171,Zen,General,17,90000,Petrol,Manual,90000
1183,Duster,Premium,5,32000,Diesel,Manual,610000
1186,i20,General,9,90000,Diesel,Manual,300000
1187,Xcent,General,7,72000,Diesel,Manual,375000
1188,Swift,General,9,90000,Diesel,Manual,390000
1192,Grand_i10,General,5,10000,Petrol,Manual,375000
1195,i10,General,5,10000,Petrol,Manual,375000
1201,Bolero,General,6,60000,Diesel,Manual,500000
1202,Brezza,General,6,85000,Diesel,Manual,819999
1203,Swift,General,8,40000,Petrol,Manual,351000
1204,i10,General,11,80000,Petrol,Manual,195000
1207,A-Star,General,13,70000,Petrol,Manual,180000
1209,Nano,General,10,35000,Petrol,Manual,75000
1211,Nano,General,11,40000,Petrol,Manual,60000
1217,Baleno,General,4,25000,Petrol,Automatic,550000
1218,Alto,General,10,90000,Petrol,Manual,200000
1224,Indica,General,12,107500,Diesel,Manual,170000
1225,Indica,General,9,135000,Diesel,Manual,210000
1227,i20,General,6,55838,Petrol,Manual,535000
1234,Swift,General,13,80659,Petrol,Manual,250000
1235,Aveo,General,14,81324,Petrol,Manual,170000
1237,Beat,General,7,50000,Petrol,Manual,200000
1238,Beat,General,6,25000,Petrol,Manual,300000
1242,Amaze,General,9,95851,Diesel,Manual,310000
1244,Omni,General,14,50000,Petrol,Manual,150000
1245,Esteem,General,16,60000,Petrol,Manual,85000
1246,Alto,General,7,15000,Petrol,Manual,280000
1249,Elantra,General,16,120000,Diesel,Manual,125000
1258,Indigo,General,13,20000,Diesel,Manual,100000
1259,Figo,General,6,15000,Petrol,Manual,380000
1260,Santro,General,15,50000,Petrol,Manual,100000
1264,Figo,General,10,130000,Diesel,Manual,190000
1265,EcoSport,Premium,5,19014,Petrol,Manual,650000
1269,Ignis,General,4,12000,Petrol,Manual,500000
1270,Etios,General,9,40771,Petrol,Manual,415000
1271,Celerio,General,7,30500,Petrol,Automatic,395000
1273,Corolla,Premium,15,55800,Petrol,Manual,215000
1277,Figo,General,8,68293,Diesel,Manual,285000
1281,Maruti 800,General,16,64700,Petrol,Manual,78000
1282,Maruti 800,General,20,100000,Petrol,Manual,65000
1283,Zest,General,6,88470,Diesel,Manual,400000
1287,Etios,General,5,70000,Diesel,Manual,780000
1291,Vento,General,7,98000,Diesel,Manual,525000
1293,Ameo,General,4,70000,Diesel,Manual,580000
1297,City,General,18,230000,Petrol,Manual,180000
1301,Alturas,General,3,5000,Diesel,Automatic,2700000
1303,Bolero,General,7,70000,Diesel,Manual,640000
1307,Ritz,General,10,80000,Diesel,Manual,110000
1312,WagonR,General,9,70000,Petrol,Manual,240000
1314,WagonR,General,7,60000,Petrol,Manual,275000
1319,WagonR,General,15,80000,Petrol,Manual,85000
1320,Scorpio,Premium,14,80000,Diesel,Manual,350000
1322,Swift,General,2,1500,Petrol,Manual,619000
1324,Indica,General,16,100000,Diesel,Manual,55000
1325,Fiesta,General,16,83411,Petrol,Manual,95000
1328,Superb,General,7,80000,Diesel,Automatic,1000000
1330,Bolero,General,7,40000,Diesel,Manual,450000
1335,Swift,General,9,90000,Diesel,Manual,400000
1338,i20,General,6,57000,Diesel,Manual,580000
1344,Figo,General,12,100000,Diesel,Manual,200000
1358,City,General,8,110000,Diesel,Manual,725000
1361,WagonR,General,19,90000,Petrol,Manual,70000
1365,Swift,General,7,100000,Diesel,Manual,530000
1367,City,General,12,115000,Petrol,Manual,350000
1369,Swift,General,3,120000,Diesel,Manual,475000
1373,Swift,General,8,120000,Diesel,Manual,475000
1380,Indica,General,12,120000,Petrol,Manual,100000
1382,EON,General,9,120000,Petrol,Manual,200000
1384,Ritz,General,8,133000,Diesel,Manual,350000
1392,Aria,General,8,90000,Diesel,Manual,495000
1397,Grand_i10,General,7,61658,Diesel,Manual,350000
1399,Ertiga,General,6,80000,Diesel,Manual,600000
1402,Maruti 800,General,20,60000,Petrol,Manual,50000
1403,City,General,18,120000,Petrol,Manual,125000
1404,CR-V,Premium,4,26000,Diesel,Automatic,1800000
1409,Xcent,General,6,35000,Diesel,Manual,430000
1416,Zen,General,15,100000,Petrol,Manual,140000
1420,Baleno,General,6,60000,Diesel,Manual,675000
1426,Grand_i10,General,2,5000,Petrol,Manual,600000
1428,Swift,General,11,100000,Petrol,Manual,300000
1429,Baleno,General,4,2000,Petrol,Manual,600000
1431,Indica,General,16,120000,Diesel,Manual,50000
1432,Verna,General,7,35000,Petrol,Manual,600000
1459,Laura,General,10,52000,Diesel,Manual,385000
1461,Beat,General,9,50000,Petrol,Manual,165000
1466,Nano,General,8,7000,Petrol,Manual,45000
1471,Amaze,General,7,60000,Diesel,Manual,400000
1472,KUV,General,5,71000,Diesel,Manual,380000
1473,City,General,6,45000,Petrol,Automatic,750000
1481,Verna,General,10,89550,Diesel,Manual,575000
1484,Duster,Premium,9,160000,Diesel,Manual,500000
1490,Spark,General,12,45000,Petrol,Manual,175000
1493,Omni,General,8,120000,Petrol,Manual,150000
1494,Indica,General,11,10000,Diesel,Manual,149000
1495,Indica,General,11,80000,Diesel,Manual,160000
1497,XUV500,Premium,8,156000,Diesel,Manual,800000
1498,Innova,General,12,120000,Diesel,Manual,819999
1505,Polo,Premium,9,100000,Diesel,Manual,434999
1506,Indigo,General,16,110000,Petrol,Manual,100000
1508,Indica,General,13,100000,Petrol,Manual,200000
1512,Rapid,General,10,120000,Diesel,Manual,275000
1514,XUV500,Premium,2,25000,Diesel,Manual,1400000
1522,Grand_i10,General,9,44000,Petrol,Manual,345000
1534,Mobilio,General,6,50000,Diesel,Manual,680000
1537,Manza,General,12,50000,Petrol,Manual,150000
1546,Alto,General,8,40000,Petrol,Manual,200999
1549,Indigo,General,10,110000,Diesel,Manual,160000
1554,City,General,10,10000,Petrol,Manual,700000
1565,Santro,General,3,10000,Petrol,Manual,480000
1567,Polo,Premium,11,60000,Diesel,Manual,290000
1574,Baleno,General,5,60000,Petrol,Manual,509000
1575,SX4,General,6,80000,Diesel,Manual,650000
1581,Alto,General,16,100000,Petrol,Manual,105000
1586,Swift,General,13,60000,Petrol,Manual,250000
1588,Alto,General,14,100000,Petrol,Manual,69000
1590,Zen,General,15,90000,Petrol,Manual,90000
1593,Alto,General,2,1100,Petrol,Manual,250000
1599,Indigo,General,10,120000,Diesel,Manual,130000
1601,Civic,Premium,16,70000,Petrol,Automatic,125000
1604,Santro,General,14,85000,Petrol,Manual,125000
1609,Swift,General,17,118400,Petrol,Manual,85000
1612,Ecosport,Premium,7,68000,Diesel,Manual,650000
1614,Etios,General,5,6480,Petrol,Manual,650000
1616,Yaris,General,4,19107,Petrol,Manual,850000
1618,Swift,General,7,28217,Petrol,Manual,415000
1622,Creta,Premium,7,58692,Diesel,Manual,850000
1624,Corolla,Premium,6,64156,Petrol,Manual,1150000
1626,Vento,General,10,97000,Diesel,Manual,215000
1627,SX4,General,13,120000,Petrol,Automatic,130000
1630,Beat,General,6,52000,Petrol,Manual,245000
1633,Fusion,General,17,100000,Petrol,Manual,120000
1637,WagonR,General,5,30000,Petrol,Manual,350000
1638,WagonR,General,17,40000,Petrol,Manual,80000
1642,Sail,General,6,30000,Petrol,Manual,250000
1646,EON,General,6,80000,Petrol,Manual,229999
1652,Fabia,General,10,50000,Petrol,Manual,300000
1655,Esteem,General,16,110000,Petrol,Manual,95000
1656,Polo,Premium,9,100000,Petrol,Manual,400000
1663,Alto,General,5,30000,Petrol,Manual,250000
1665,Swift,General,10,90000,Petrol,Manual,368000
1666,Innova,General,8,144000,Diesel,Manual,650000
1667,WagonR,General,10,60000,LPG,Manual,180000
1675,Santro,General,14,100000,Petrol,Manual,130000
1679,Amaze,General,9,53000,Diesel,Manual,450000
1681,SX4,General,11,90000,Diesel,Manual,260000
1682,Swift,General,9,80000,Diesel,Manual,370000
1685,Innova,General,9,170000,Diesel,Manual,700000
1686,Elite,General,2,7300,Petrol,Manual,545000
1690,Thar,General,9,25000,Diesel,Manual,580000
1692,Grand_i10,General,4,6000,Petrol,Manual,450000
1693,Alto,General,12,36000,Petrol,Manual,160000
1697,Bolero,General,3,24000,Diesel,Manual,800000
1698,Swift,General,4,20000,Diesel,Manual,680000
1700,Innova,General,6,70000,Diesel,Manual,1300000
1701,Swift,General,6,60000,Petrol,Manual,500000
1702,Q5,Premium,7,35000,Diesel,Automatic,3500000
1713,Ecosport,Premium,2,101,Diesel,Manual,1000000
1714,Figo,General,7,52328,Diesel,Manual,495000
1723,Maruti 800,General,13,50000,Petrol,Manual,125000
1726,Brezza,General,5,40000,Diesel,Manual,875000
1729,Accent,General,18,110000,Petrol,Manual,120000
1731,Duster,Premium,9,120000,Diesel,Manual,650000
1733,Amaze,General,8,15000,Petrol,Automatic,400000
1735,Santro,General,14,41723,Petrol,Manual,120000
1737,Alto,General,10,20000,Petrol,Manual,175000
1745,Evalia,General,8,28245,Diesel,Manual,650000
1746,Grand_i10,General,5,27005,Diesel,Manual,575000
1747,i10,General,8,39227,Petrol,Manual,355000
1749,WagonR,General,14,35008,Petrol,Manual,221000
1751,Santro,General,18,100005,Petrol,Manual,90000
1756,RediGO,General,4,2769,Petrol,Manual,375000
1764,XUV500,Premium,7,55000,Diesel,Manual,850000
1774,Ecosport,Premium,2,1010,Petrol,Manual,1030000
1777,Ecosport,Premium,2,1010,Diesel,Manual,1331000
1782,Scorpio,Premium,7,70000,Diesel,Manual,830000
1786,Accent,General,16,110000,Petrol,Manual,120000
1789,WagonR,General,9,80000,Petrol,Manual,213000
1805,Alto,General,15,70000,Petrol,Manual,135000
1816,Ertiga,General,10,120000,Diesel,Manual,600000
1820,Creta,Premium,4,70000,Diesel,Manual,950000
1822,XUV500,Premium,10,120000,Diesel,Manual,700000
1828,Scorpio,Premium,7,50000,Diesel,Manual,630000
1831,C-Class,Premium,4,10000,Diesel,Automatic,3800000
1832,A4,Premium,9,86000,Diesel,Automatic,1580000
1836,Grand_i10,General,5,19890,Petrol,Automatic,550000
1838,Ertiga,General,7,11918,Petrol,Manual,625000
1842,S-Cross,General,7,45974,Diesel,Manual,750000
1856,Alto,General,10,40000,Petrol,Manual,260000
1857,Polo,Premium,10,55000,Diesel,Manual,265000
1859,Safari,Premium,6,80000,Diesel,Manual,869999
1860,Baleno,General,4,40000,Petrol,Manual,690000
1873,Indica,General,10,80000,Diesel,Manual,150000
1878,Polo,Premium,10,55000,Diesel,Manual,265000
1883,Baleno,General,4,40000,Petrol,Manual,690000
1885,Maruti 800,General,9,70000,Petrol,Manual,170000
1890,WagonR,General,17,100000,Petrol,Manual,100000
1891,Indica,General,14,110000,Petrol,Manual,65000
1892,Verna,General,10,90000,Diesel,Manual,312000
1894,Santro,General,17,47000,Petrol,Manual,150000
1902,Figo,General,5,35122,Diesel,Manual,600000
1906,Beat,General,9,50000,Petrol,Manual,200000
1908,Rapid,General,5,40000,Diesel,Automatic,750000
1909,Swift,General,3,22000,Diesel,Automatic,725000
1910,Alto,General,15,100000,Petrol,Manual,100000
1920,Bolero,General,15,130000,Diesel,Manual,185000
1925,Punto,General,12,50000,Petrol,Manual,80000
1926,Xcent,General,4,8000,Petrol,Manual,500000
1931,Scorpio,Premium,12,90000,Diesel,Manual,480000
1932,KUV,General,4,30000,Petrol,Manual,320000
1934,Indica,General,16,80000,Diesel,Manual,57000
1938,City,General,18,100000,Petrol,Manual,105000
