job,marital,education,loan,age,cons_price_idx,subscribe
self_employed,married,professional_course,yes,37,93.444,0
white_collar,married,school,yes,52,93.2,0
white_collar,single,professional_course,no,22,94.215,1
retired,married,school,no,68,93.075,1
white_collar,single,professional_course,yes,29,93.2,0
unemployed,married,professional_course,no,48,93.876,1
blue_collar,divorced,professional_course,no,35,92.893,1
blue_collar,married,professional_course,no,35,93.444,0
white_collar,single,school,no,40,92.893,1
blue_collar,divorced,professional_course,no,39,92.893,1
retired,married,school,no,72,92.431,1
unemployed,married,professional_course,no,48,93.918,0
self_employed,married,school,no,56,93.994,0
blue_collar,single,professional_course,no,35,92.893,1
white_collar,single,professional_course,no,33,92.201,1
blue_collar,married,professional_course,no,53,92.379,1
blue_collar,single,professional_course,no,24,,1
blue_collar,married,school,no,52,93.918,0
white_collar,single,school,no,28,93.918,0
white_collar,single,school,no,25,93.075,1
white_collar,married,school,yes,60,93.994,0
blue_collar,married,school,no,37,93.444,0
white_collar,married,school,yes,25,93.918,0
white_collar,married,professional_course,no,33,93.444,0
blue_collar,divorced,professional_course,no,41,94.027,1
blue_collar,married,professional_course,no,44,93.876,1
self_employed,single,professional_course,no,44,92.893,1
unemployed,married,professional_course,yes,36,92.893,1
white_collar,single,school,no,35,93.994,0
retired,married,school,no,57,93.994,0
self_employed,single,school,no,39,93.2,0
retired,married,school,no,56,94.465,0
white_collar,married,professional_course,no,50,93.444,0
blue_collar,single,professional_course,no,26,92.963,1
white_collar,single,professional_course,no,37,94.465,0
white_collar,married,professional_course,yes,29,93.876,1
blue_collar,single,professional_course,no,43,93.876,1
blue_collar,married,school,no,36,93.444,0
white_collar,married,professional_course,no,30,94.601,1
blue_collar,married,school,no,58,93.918,0
white_collar,single,school,no,23,94.465,0
white_collar,single,professional_course,no,37,93.2,0
white_collar,married,professional_course,no,40,93.918,0
white_collar,married,school,no,59,92.201,1
retired,divorced,school,no,81,94.199,1
blue_collar,married,professional_course,no,48,93.444,0
blue_collar,married,professional_course,no,39,93.994,1
blue_collar,married,school,no,44,93.444,0
white_collar,married,school,no,46,93.918,0
white_collar,single,professional_course,no,45,94.465,0
blue_collar,single,professional_course,no,31,92.893,1
unemployed,single,school,no,33,92.963,1
retired,married,school,no,70,92.713,1
white_collar,single,professional_course,no,33,93.749,1
white_collar,divorced,school,no,53,92.431,1
white_collar,married,professional_course,no,56,93.444,0
white_collar,married,professional_course,no,34,93.994,0
blue_collar,married,school,no,48,93.2,0
blue_collar,single,professional_course,no,53,93.369,1
white_collar,single,school,no,26,93.918,0
white_collar,married,school,no,36,94.465,0
white_collar,married,professional_course,no,35,92.379,1
white_collar,single,professional_course,no,35,93.2,0
blue_collar,married,school,no,48,93.994,0
white_collar,married,professional_course,no,47,93.994,0
self_employed,married,professional_course,no,60,93.918,0
unemployed,single,school,yes,20,94.601,1
unemployed,single,professional_course,yes,26,93.075,1
white_collar,married,professional_course,no,39,93.994,0
white_collar,single,professional_course,no,52,93.444,0
blue_collar,married,school,no,44,93.444,0
white_collar,married,professional_course,no,61,93.075,1
white_collar,married,professional_course,no,46,93.918,0
blue_collar,married,professional_course,no,39,93.994,0
blue_collar,married,professional_course,no,53,94.465,0
white_collar,divorced,professional_course,no,39,93.444,0
blue_collar,married,professional_course,no,41,92.893,1
white_collar,married,school,no,60,94.601,1
self_employed,married,school,no,36,92.893,1
blue_collar,single,professional_course,no,26,92.713,1
white_collar,married,school,no,44,93.444,0
blue_collar,married,school,no,23,92.893,1
blue_collar,divorced,school,no,27,93.994,0
self_employed,married,professional_course,no,33,93.798,0
white_collar,single,professional_course,no,26,94.199,1
white_collar,divorced,school,no,48,93.075,1
white_collar,married,professional_course,no,33,93.444,0
white_collar,single,professional_course,yes,36,92.893,1
blue_collar,single,professional_course,no,27,93.918,0
retired,married,professional_course,no,57,94.465,0
white_collar,divorced,professional_course,no,40,93.994,0
white_collar,married,professional_course,no,32,92.431,1
unemployed,single,professional_course,no,30,93.2,0
blue_collar,married,school,no,45,94.465,0
white_collar,divorced,school,no,56,92.469,1
blue_collar,single,school,no,44,92.469,1
blue_collar,married,professional_course,no,50,93.994,0
white_collar,single,professional_course,no,29,94.055,1
retired,married,professional_course,no,74,92.201,1
blue_collar,divorced,professional_course,no,47,93.918,0
blue_collar,married,school,yes,51,94.055,1
blue_collar,married,professional_course,no,38,93.994,0
blue_collar,married,school,no,54,92.893,0
blue_collar,married,professional_course,yes,41,93.918,0
blue_collar,married,professional_course,no,53,92.893,1
blue_collar,single,professional_course,no,39,92.431,1
blue_collar,married,school,no,42,93.918,0
self_employed,married,school,yes,31,93.918,0
retired,divorced,school,no,54,93.994,0
blue_collar,married,professional_course,no,55,92.431,1
unemployed,single,professional_course,no,26,92.649,1
blue_collar,single,professional_course,no,36,93.444,0
white_collar,single,school,no,25,92.893,1
white_collar,married,school,no,55,93.075,1
white_collar,divorced,school,no,42,93.075,1
self_employed,married,professional_course,no,31,92.893,1
white_collar,married,school,no,36,93.918,0
unemployed,single,school,no,18,94.027,1
blue_collar,married,professional_course,no,35,93.2,0
white_collar,married,professional_course,no,54,94.767,1
blue_collar,married,school,no,36,93.444,0
white_collar,single,professional_course,no,57,93.918,1
white_collar,married,professional_course,no,46,93.075,1
white_collar,single,school,no,29,94.465,0
blue_collar,married,professional_course,no,37,93.075,1
unemployed,married,professional_course,yes,51,93.918,0
blue_collar,married,school,no,39,92.893,1
blue_collar,single,professional_course,yes,27,92.893,1
blue_collar,single,school,no,52,94.465,0
white_collar,single,professional_course,no,38,92.469,1
self_employed,married,professional_course,yes,53,93.444,0
retired,divorced,school,yes,88,92.843,1
white_collar,married,school,no,36,92.893,1
white_collar,married,professional_course,yes,58,92.893,1
white_collar,single,professional_course,no,34,93.075,1
white_collar,single,professional_course,no,50,93.994,0
white_collar,single,school,no,28,92.843,1
white_collar,single,professional_course,no,39,92.893,1
blue_collar,married,professional_course,no,51,93.994,0
white_collar,married,professional_course,no,47,92.379,1
white_collar,married,professional_course,no,38,93.994,0
unemployed,single,professional_course,no,39,92.713,1
blue_collar,single,professional_course,no,37,93.994,0
unemployed,single,school,no,20,,1
blue_collar,married,school,no,39,94.465,0
white_collar,married,professional_course,yes,48,92.893,1
blue_collar,married,school,no,32,93.994,0
white_collar,married,school,no,51,93.2,0
white_collar,single,school,no,31,93.2,0
white_collar,divorced,professional_course,no,47,93.918,0
retired,married,school,yes,72,94.215,1
white_collar,divorced,professional_course,no,36,94.199,1
blue_collar,single,professional_course,no,29,93.444,0
white_collar,married,school,no,48,93.2,0
blue_collar,married,school,no,60,93.918,0
unemployed,single,professional_course,no,24,92.379,1
retired,divorced,school,no,75,92.431,1
white_collar,married,school,no,36,93.2,0
blue_collar,married,professional_course,no,37,93.918,0
white_collar,divorced,professional_course,no,54,93.994,0
white_collar,single,school,no,25,94.215,1
white_collar,married,school,yes,33,93.994,0
retired,married,school,no,53,93.994,0
white_collar,married,school,no,36,93.2,0
self_employed,single,school,no,39,94.465,0
white_collar,married,professional_course,yes,61,94.027,1
white_collar,single,school,no,32,93.918,0
retired,married,school,no,69,92.649,1
white_collar,married,professional_course,no,41,93.749,1
white_collar,divorced,professional_course,no,56,93.918,0
white_collar,married,school,yes,38,92.893,1
blue_collar,single,school,yes,43,93.918,0
white_collar,single,professional_course,no,32,93.444,0
white_collar,single,professional_course,no,50,92.963,1
white_collar,single,professional_course,no,41,93.918,0
blue_collar,married,professional_course,no,53,93.994,0
white_collar,married,professional_course,no,36,93.444,0
self_employed,married,professional_course,no,40,93.994,0
blue_collar,married,professional_course,yes,42,93.918,0
blue_collar,married,school,yes,34,93.2,0
white_collar,single,school,no,24,93.994,0
blue_collar,single,professional_course,no,30,93.994,0
unemployed,single,professional_course,no,43,93.994,0
unemployed,single,professional_course,no,26,92.201,1
blue_collar,married,professional_course,no,43,92.843,1
blue_collar,married,school,no,55,94.465,0
white_collar,single,professional_course,yes,31,92.893,1
self_employed,married,professional_course,yes,55,93.2,0
white_collar,divorced,school,no,35,92.893,1
blue_collar,single,school,yes,34,93.918,0
white_collar,divorced,professional_course,no,50,93.918,0
blue_collar,married,school,no,26,94.465,0
white_collar,single,school,yes,26,93.918,0
blue_collar,single,professional_course,no,45,93.994,0
blue_collar,married,school,no,35,93.918,0
retired,married,school,no,55,93.994,0
white_collar,single,school,no,26,92.649,1
unemployed,married,professional_course,no,37,,1
white_collar,married,school,no,26,93.994,0
blue_collar,single,professional_course,no,38,92.713,1
blue_collar,single,professional_course,no,37,93.994,0
white_collar,married,professional_course,no,27,94.465,0
blue_collar,married,professional_course,no,33,92.893,1
white_collar,married,professional_course,no,42,93.798,0
white_collar,married,professional_course,yes,48,93.2,0
white_collar,single,professional_course,no,35,92.893,1
blue_collar,married,school,no,52,93.444,0
blue_collar,married,school,yes,29,93.918,0
white_collar,divorced,professional_course,no,31,93.2,0
unemployed,single,professional_course,no,25,93.075,1
self_employed,single,professional_course,no,36,93.798,0
white_collar,married,professional_course,no,55,93.918,0
retired,married,school,no,66,93.369,1
white_collar,single,professional_course,no,49,93.994,0
blue_collar,married,professional_course,no,33,93.2,0
white_collar,married,school,no,42,93.994,0
retired,married,professional_course,no,58,93.444,0
unemployed,married,professional_course,no,28,92.201,1
blue_collar,divorced,professional_course,no,31,93.918,0
blue_collar,married,school,no,33,93.918,0
blue_collar,married,professional_course,no,41,92.893,1
blue_collar,married,school,no,29,92.893,1
white_collar,single,school,no,30,92.201,1
white_collar,married,professional_course,yes,50,93.994,0
blue_collar,single,school,no,54,93.918,0
self_employed,married,professional_course,no,41,93.2,0
unemployed,single,school,no,29,93.2,0
white_collar,single,school,no,29,92.893,1
retired,divorced,school,yes,59,94.215,1
blue_collar,single,professional_course,no,38,93.075,1
blue_collar,single,school,no,35,94.465,0
white_collar,married,professional_course,no,33,92.843,1
unemployed,single,school,no,21,92.893,1
white_collar,married,professional_course,no,48,93.2,0
white_collar,single,professional_course,no,39,93.075,1
blue_collar,married,professional_course,no,34,93.994,0
white_collar,single,school,no,31,93.994,0
white_collar,single,professional_course,no,36,93.918,0
blue_collar,married,school,no,36,94.465,0
white_collar,married,professional_course,no,52,93.876,1
unemployed,single,professional_course,yes,37,93.918,0
white_collar,single,professional_course,no,28,92.843,1
self_employed,single,professional_course,no,36,93.2,0
blue_collar,married,school,no,41,94.465,0
white_collar,single,professional_course,no,33,93.994,0
self_employed,married,professional_course,no,58,93.994,0
blue_collar,married,professional_course,no,46,94.027,1
unemployed,single,school,no,37,92.201,1
self_employed,divorced,school,no,52,93.918,0
white_collar,single,professional_course,no,29,93.444,0
white_collar,married,school,yes,28,94.055,1
white_collar,married,school,no,31,93.994,0
unemployed,single,professional_course,no,44,93.994,0
retired,married,school,no,55,93.075,1
white_collar,married,professional_course,no,32,93.2,0
white_collar,married,professional_course,no,38,93.444,0
white_collar,single,professional_course,no,39,93.994,0
white_collar,single,professional_course,yes,25,92.431,1
blue_collar,married,school,no,32,93.994,0
white_collar,married,professional_course,no,39,93.918,0
white_collar,married,professional_course,no,37,93.444,0
white_collar,single,school,no,28,92.843,1
white_collar,married,school,no,52,93.444,0
white_collar,married,school,no,28,93.994,0
unemployed,married,professional_course,no,49,92.649,1
blue_collar,married,professional_course,no,44,93.918,0
blue_collar,single,professional_course,no,31,93.798,0
blue_collar,divorced,school,no,38,93.075,1
white_collar,single,professional_course,no,30,92.963,1
white_collar,single,professional_course,no,26,92.893,1
white_collar,married,school,no,60,94.767,1
self_employed,married,professional_course,no,28,92.649,1
blue_collar,single,professional_course,no,27,93.918,0
white_collar,divorced,professional_course,no,53,94.465,0
blue_collar,married,professional_course,yes,45,92.893,1
white_collar,single,professional_course,yes,46,93.2,0
white_collar,married,professional_course,no,34,92.379,1
blue_collar,married,school,no,43,92.963,1
white_collar,single,school,yes,32,92.201,1
white_collar,single,professional_course,yes,49,92.893,1
blue_collar,married,professional_course,no,36,92.893,1
white_collar,married,professional_course,no,33,93.444,0
white_collar,single,professional_course,no,27,94.601,1
blue_collar,single,professional_course,no,39,93.918,0
white_collar,married,professional_course,no,49,93.075,1
white_collar,divorced,school,yes,42,92.893,1
white_collar,married,professional_course,yes,45,92.893,1
retired,single,school,no,66,92.649,1
white_collar,married,professional_course,yes,45,92.649,1
white_collar,married,professional_course,no,40,93.918,0
white_collar,married,professional_course,no,45,94.465,0
blue_collar,married,professional_course,no,52,93.994,0
white_collar,married,professional_course,no,43,93.918,0
blue_collar,married,school,no,33,93.994,0
white_collar,single,professional_course,no,29,93.075,1
white_collar,married,professional_course,no,45,93.918,0
white_collar,single,professional_course,no,32,92.893,1
white_collar,single,professional_course,no,28,92.843,1
blue_collar,single,professional_course,yes,24,94.767,1
white_collar,divorced,school,no,46,92.963,1
white_collar,single,professional_course,no,33,92.431,1
blue_collar,married,school,no,46,93.444,0
blue_collar,married,school,no,50,92.713,1
white_collar,single,school,no,31,93.2,0
retired,married,professional_course,no,59,93.994,0
unemployed,married,school,no,34,93.2,0
blue_collar,single,professional_course,no,25,94.767,1
unemployed,married,professional_course,no,60,94.465,0
white_collar,single,school,no,28,93.918,0
retired,divorced,school,no,68,94.601,1
blue_collar,married,professional_course,no,38,93.2,0
blue_collar,single,school,yes,48,93.918,0
white_collar,married,professional_course,no,45,92.469,1
unemployed,single,professional_course,no,23,92.713,1
self_employed,married,professional_course,no,33,93.2,0
blue_collar,married,school,no,51,93.994,0
white_collar,married,professional_course,no,60,93.075,1
white_collar,single,school,no,39,92.843,1
white_collar,single,professional_course,no,33,93.444,0
blue_collar,married,professional_course,no,43,93.918,0
white_collar,married,school,no,41,92.893,1
retired,married,school,yes,66,92.201,1
white_collar,single,professional_course,yes,28,93.075,1
white_collar,single,professional_course,no,24,92.201,1
white_collar,divorced,school,no,43,93.2,0
blue_collar,married,school,no,56,92.431,1
white_collar,married,school,no,40,93.994,0
blue_collar,single,school,no,33,92.893,1
white_collar,single,school,no,37,93.075,1
white_collar,single,professional_course,no,48,93.876,1
blue_collar,divorced,professional_course,no,51,92.893,1
white_collar,divorced,school,no,44,92.649,1
blue_collar,married,school,no,62,94.215,1
blue_collar,single,professional_course,no,23,92.431,1
white_collar,single,school,no,32,93.918,0
blue_collar,married,professional_course,no,43,94.465,0
white_collar,married,professional_course,no,45,93.2,0
white_collar,married,professional_course,yes,53,92.713,1
blue_collar,married,professional_course,no,40,93.075,1
self_employed,married,professional_course,no,30,93.918,1
blue_collar,married,school,no,45,92.649,1
white_collar,single,professional_course,no,33,93.444,0
blue_collar,married,professional_course,no,28,94.465,0
white_collar,single,professional_course,no,25,94.465,0
white_collar,married,professional_course,yes,33,93.994,0
retired,married,school,no,65,92.893,1
unemployed,single,professional_course,no,17,92.201,1
blue_collar,single,school,no,24,92.893,1
white_collar,single,school,no,26,92.963,1
white_collar,married,professional_course,no,53,93.994,0
blue_collar,married,professional_course,no,43,92.893,1
unemployed,single,school,no,28,94.465,0
white_collar,married,school,no,35,93.2,0
self_employed,single,professional_course,no,36,93.2,0
white_collar,single,school,no,28,92.843,1
blue_collar,divorced,professional_course,no,37,93.075,1
white_collar,single,professional_course,no,32,93.075,1
white_collar,single,professional_course,no,32,92.963,1
white_collar,married,school,no,59,92.201,1
blue_collar,married,professional_course,yes,34,92.379,1
white_collar,single,professional_course,no,48,93.2,0
white_collar,married,school,no,39,92.843,1
white_collar,married,professional_course,no,46,93.918,0
blue_collar,married,professional_course,no,39,93.918,0
white_collar,divorced,professional_course,no,55,93.994,0
blue_collar,single,professional_course,yes,26,93.994,0
white_collar,married,school,no,42,92.893,1
white_collar,single,professional_course,no,26,93.918,0
self_employed,married,professional_course,yes,33,93.918,0
retired,married,professional_course,yes,67,92.201,1
white_collar,married,professional_course,no,29,93.918,0
retired,divorced,professional_course,no,70,92.379,1
white_collar,divorced,professional_course,yes,53,92.649,1
white_collar,single,school,no,28,92.963,1
retired,divorced,school,no,83,92.649,1
retired,married,school,no,59,93.075,1
blue_collar,married,professional_course,no,31,93.2,0
blue_collar,single,school,no,29,93.444,0
white_collar,married,school,no,42,92.893,1
retired,married,school,no,59,93.444,0
blue_collar,single,professional_course,no,30,93.2,0
self_employed,married,professional_course,no,42,93.918,0
self_employed,married,school,yes,36,93.2,0
white_collar,married,school,no,36,93.994,0
blue_collar,married,school,no,36,92.893,1
blue_collar,married,school,no,30,93.918,0
white_collar,married,professional_course,no,36,92.431,1
white_collar,single,school,no,24,93.075,1
blue_collar,married,professional_course,no,39,92.201,1
blue_collar,married,professional_course,no,37,93.444,0
blue_collar,single,professional_course,no,36,92.893,1
unemployed,single,professional_course,no,37,93.2,0
blue_collar,single,professional_course,no,29,92.963,1
white_collar,married,professional_course,no,35,92.963,1
unemployed,married,school,no,54,92.713,1
blue_collar,married,professional_course,no,44,93.918,0
blue_collar,married,professional_course,no,28,93.994,0
white_collar,married,school,no,31,92.963,1
white_collar,married,school,no,49,93.2,0
white_collar,single,professional_course,no,31,93.2,0
blue_collar,married,school,no,42,94.465,0
white_collar,married,professional_course,no,30,93.075,1
white_collar,married,professional_course,no,37,94.055,1
unemployed,single,school,no,24,92.713,1
blue_collar,single,professional_course,no,26,94.199,1
white_collar,married,professional_course,no,38,93.2,0
blue_collar,married,professional_course,no,35,92.893,1
retired,married,school,no,78,94.215,1
blue_collar,single,professional_course,no,36,93.444,0
white_collar,single,school,no,36,94.465,0
retired,divorced,school,yes,73,92.713,1
blue_collar,single,school,no,31,92.843,1
retired,married,professional_course,yes,77,92.431,1
blue_collar,married,school,no,48,92.893,1
white_collar,married,professional_course,no,42,93.994,0
white_collar,married,school,no,28,93.918,0
white_collar,married,school,no,35,93.918,0
self_employed,married,professional_course,no,29,92.843,1
self_employed,single,professional_course,no,32,92.469,1
blue_collar,married,professional_course,no,32,93.075,1
white_collar,divorced,professional_course,yes,44,94.465,0
white_collar,married,professional_course,no,53,93.444,0
blue_collar,married,school,yes,43,92.893,1
white_collar,single,professional_course,no,29,92.963,1
blue_collar,single,professional_course,no,45,92.893,1
blue_collar,single,school,no,28,92.893,1
blue_collar,married,school,no,26,93.994,0
blue_collar,single,professional_course,no,26,93.918,0
self_employed,single,professional_course,no,36,93.918,0
unemployed,single,school,no,47,93.2,0
retired,married,professional_course,no,57,93.444,0
self_employed,married,professional_course,no,30,93.798,0
blue_collar,married,school,no,52,93.918,0
blue_collar,married,school,no,36,92.893,1
white_collar,married,professional_course,no,31,93.444,0
self_employed,married,professional_course,no,53,93.918,0
white_collar,single,professional_course,no,27,92.201,1
self_employed,married,professional_course,no,48,93.075,1
blue_collar,single,professional_course,no,32,93.918,0
white_collar,married,school,no,24,93.918,0
unemployed,married,school,no,39,92.201,1
white_collar,married,school,no,52,92.649,1
white_collar,married,school,yes,44,93.918,0
self_employed,married,school,no,57,92.963,1
white_collar,single,professional_course,no,48,93.444,0
blue_collar,married,school,no,31,93.798,0
white_collar,single,professional_course,no,37,93.444,0
retired,married,school,no,54,93.444,0
retired,married,school,yes,54,93.918,0
self_employed,married,professional_course,no,30,92.893,1
white_collar,married,professional_course,no,46,93.444,0
white_collar,married,school,no,56,94.055,1
blue_collar,single,school,no,44,92.893,1
unemployed,single,professional_course,no,27,93.994,0
blue_collar,divorced,professional_course,no,47,92.893,1
white_collar,married,school,no,39,94.465,0
blue_collar,single,professional_course,no,44,93.918,0
retired,married,school,no,60,93.444,0
unemployed,married,school,no,29,92.713,1
white_collar,married,school,no,39,94.465,0
blue_collar,married,school,no,49,92.893,1
white_collar,married,school,yes,46,93.444,0
unemployed,single,school,no,23,94.215,1
white_collar,married,professional_course,no,41,92.713,1
retired,married,school,no,66,94.601,1
white_collar,married,professional_course,no,26,92.843,1
self_employed,married,professional_course,yes,35,93.994,0
retired,married,professional_course,no,72,93.369,1
white_collar,single,professional_course,yes,24,92.431,1
blue_collar,single,professional_course,no,31,94.215,1
retired,single,professional_course,no,65,92.649,1
white_collar,married,professional_course,no,32,93.918,0
white_collar,married,professional_course,no,46,93.994,0
blue_collar,married,school,no,44,93.444,0
white_collar,married,school,no,32,92.893,1
retired,married,professional_course,no,56,93.994,0
blue_collar,single,school,no,35,93.994,0
white_collar,married,school,no,45,93.444,0
blue_collar,married,professional_course,no,34,93.444,0
white_collar,single,school,no,36,92.893,1
blue_collar,single,school,no,30,93.444,0
white_collar,divorced,school,no,45,93.918,0
white_collar,divorced,professional_course,no,59,93.369,1
white_collar,married,school,no,47,93.994,0
white_collar,married,professional_course,no,50,93.444,0
white_collar,single,school,no,30,93.918,0
white_collar,single,professional_course,no,30,93.075,1
blue_collar,single,school,no,29,93.994,0
white_collar,married,professional_course,no,51,92.201,1
self_employed,married,school,no,35,93.918,0
blue_collar,married,professional_course,no,42,94.465,0
blue_collar,married,professional_course,yes,32,92.893,1
unemployed,single,school,no,25,92.893,1
white_collar,married,school,no,46,93.075,1
blue_collar,single,professional_course,yes,35,93.444,0
unemployed,single,professional_course,yes,30,93.075,1
blue_collar,married,professional_course,no,42,94.465,0
blue_collar,single,professional_course,no,28,92.963,1
white_collar,single,professional_course,no,41,93.918,0
blue_collar,married,professional_course,no,41,93.994,0
self_employed,divorced,professional_course,no,42,93.2,0
blue_collar,married,professional_course,no,40,94.465,0
self_employed,married,school,no,39,92.379,1
white_collar,married,professional_course,no,50,93.876,1
white_collar,single,professional_course,no,27,92.893,1
blue_collar,divorced,school,no,49,94.465,0
white_collar,married,school,no,48,93.444,0
white_collar,single,school,no,45,93.075,1
blue_collar,married,professional_course,no,35,93.444,0
white_collar,married,school,no,47,93.444,0
blue_collar,single,professional_course,no,43,93.918,0
blue_collar,divorced,professional_course,no,31,93.918,0
blue_collar,married,professional_course,no,53,93.2,0
blue_collar,married,school,no,44,93.444,0
self_employed,married,professional_course,no,41,93.2,0
white_collar,divorced,professional_course,no,41,94.215,1
retired,divorced,professional_course,no,78,93.369,1
blue_collar,married,professional_course,no,58,92.893,1
white_collar,married,professional_course,no,41,94.767,1
white_collar,married,professional_course,no,71,92.431,1
blue_collar,married,school,no,33,93.918,0
white_collar,single,school,no,33,92.201,1
blue_collar,married,professional_course,no,53,93.444,0
blue_collar,married,school,no,38,94.465,0
blue_collar,divorced,professional_course,yes,30,94.465,0
white_collar,married,professional_course,yes,35,92.963,1
blue_collar,single,professional_course,no,31,93.444,0
blue_collar,single,school,no,29,94.465,0
blue_collar,married,school,no,43,92.893,1
blue_collar,divorced,professional_course,no,47,93.994,0
blue_collar,married,professional_course,no,32,93.918,0
blue_collar,married,professional_course,no,30,94.465,0
retired,married,school,yes,61,92.201,1
white_collar,married,school,no,67,92.963,1
white_collar,married,school,no,33,93.918,0
blue_collar,single,school,yes,31,93.918,0
white_collar,divorced,school,no,39,94.465,0
self_employed,married,professional_course,no,31,93.075,1
retired,married,professional_course,no,76,92.201,1
blue_collar,married,professional_course,no,41,93.444,0
white_collar,married,school,no,33,92.893,1
retired,divorced,school,no,87,92.201,1
blue_collar,married,school,no,41,93.918,0
white_collar,divorced,professional_course,no,52,94.055,1
blue_collar,married,professional_course,no,48,92.893,1
white_collar,married,school,yes,31,94.215,1
white_collar,married,professional_course,no,32,93.918,0
blue_collar,married,school,no,31,93.444,0
white_collar,divorced,school,no,29,93.994,0
blue_collar,single,professional_course,yes,28,92.893,1
white_collar,married,school,no,52,93.2,0
blue_collar,single,professional_course,no,34,93.444,0
white_collar,single,school,no,24,94.465,0
white_collar,married,school,yes,51,94.465,0
blue_collar,married,school,no,49,93.444,0
blue_collar,divorced,professional_course,no,56,94.601,1
white_collar,single,professional_course,yes,36,93.2,0
white_collar,single,professional_course,no,32,93.994,0
white_collar,single,professional_course,no,48,93.2,0
white_collar,married,professional_course,no,46,93.918,0
unemployed,single,school,no,26,92.893,1
blue_collar,divorced,school,no,39,92.893,1
white_collar,single,school,no,37,94.215,1
white_collar,single,school,no,29,93.749,1
self_employed,single,professional_course,yes,36,94.055,1
white_collar,single,school,no,24,92.843,1
blue_collar,married,professional_course,no,38,93.444,0
self_employed,married,professional_course,no,59,93.075,1
retired,divorced,professional_course,yes,52,92.201,1
blue_collar,married,professional_course,no,35,94.027,1
white_collar,divorced,school,no,54,94.465,0
white_collar,single,professional_course,no,29,93.369,1
blue_collar,married,school,no,55,93.444,0
white_collar,divorced,professional_course,no,60,94.465,0
white_collar,divorced,school,no,56,93.994,0
retired,married,school,yes,57,92.963,1
retired,married,school,no,71,92.379,1
white_collar,single,professional_course,yes,30,93.994,0
blue_collar,divorced,professional_course,no,53,93.444,0
blue_collar,married,professional_course,no,34,92.963,1
blue_collar,married,school,no,63,93.749,1
blue_collar,married,school,no,35,94.465,0
white_collar,single,school,no,40,93.2,0
white_collar,single,professional_course,no,39,93.369,1
self_employed,married,professional_course,no,33,93.075,1
white_collar,married,school,yes,49,93.994,0
blue_collar,married,professional_course,no,47,93.444,0
blue_collar,single,professional_course,no,55,93.918,0
blue_collar,divorced,professional_course,no,47,93.918,0
white_collar,married,school,no,44,93.918,0
retired,divorced,professional_course,no,60,93.918,0
white_collar,single,professional_course,no,44,93.2,0
blue_collar,single,professional_course,no,23,92.893,1
white_collar,divorced,professional_course,no,40,93.918,0
white_collar,married,professional_course,no,57,93.444,0
unemployed,married,professional_course,no,31,94.465,0
white_collar,married,professional_course,no,35,93.918,0
blue_collar,married,professional_course,no,31,93.994,0
blue_collar,divorced,school,no,46,93.994,0
blue_collar,single,school,no,25,93.994,0
blue_collar,married,professional_course,no,52,94.465,0
unemployed,married,school,no,48,94.465,0
retired,married,school,no,77,94.027,1
blue_collar,single,professional_course,no,34,92.843,1
retired,married,professional_course,no,59,93.994,0
retired,married,professional_course,no,66,93.369,1
blue_collar,single,professional_course,no,30,93.918,1
blue_collar,married,professional_course,no,42,93.444,0
